product_id,product_name,product_family,variant,brand,category,description,sku,supplier_id,cost_price,selling_price,reorder_level,active,launch_date,created_at,updated_at
PROD0019,CorePrint Label Industrial,CorePrint Label,Industrial,CorePrint,Printer,Label printer for warehouse and inventory operations.,PRI-COR-0019,SUP0007,7570.76,9690.39,5,True,2024-01-08,2024-01-08,2025-12-04
PROD0020,FlexMouse Wired,FlexMouse,Wired,FlexPoint,Accessories,Optical mouse for office productivity.,ACC-FLE-0020,SUP0005,328.02,480.38,10,True,2023-10-02,2023-10-02,2024-12-11
PROD0021,FlexMouse Wireless,FlexMouse,Wireless,FlexPoint,Accessories,optical mouse for office productivity.,ACC-FLE-0021,SUP0005,566.73,745.57,5,True,2024-05-08,2024-05-08,2025-11-17
PROD0022,FlexKeyboard Wired,FlexKeyboard,Wired,FlexPoint,Accessories,Full-size keyboard designed for everyday office work.,ACC-FLE-0022,SUP0009,572.99,792.24,10,True,2023-10-22,2023-10-22,2025-08-30
PROD0023,FlexKeyboard Wireless,FlexKeyboard,Wireless,FlexPoint,Accessories,Full-size keyboard designed for everyday office work.,ACC-FLE-0023,SUP0009,870.05,1178.22,10,True,2026-02-03,2026-02-03,2026-03-03
PROD0024,FlexHeadset USB,FlexHeadset,USB,FlexPoint,Accessories,Headset for meetings and online collaboration.,ACC-FLE-0024,SUP0016,900.03,1170.47,5,True,2024-11-17,2024-11-17,2026-05-03
PROD0025,FlexHeadset Bluetooth,FlexHeadset,Bluetooth,FlexPoint,Accessories,Headset for meetings and online collaboration.,ACC-FLE-0025,SUP0016,1397.6,1780.23,5,True,2025-07-07,2025-07-07,2025-12-22
PROD0026,FlexWebcam HD,FlexWebcam,HD,FlexPoint,Accessories,USB webcam for video conferencing.,ACC-FLE-0026,SUP0005,1135.43,1627.76,25,True,2023-10-20,2023-10-20,2024-05-28
PROD0027,FlexWebcam Full HD,FlexWebcam,Full HD,FlexPoint,Accessories,USB webcam for video conferencing.,ACC-FLE-0027,SUP0005,1977.19,2512.77,10,False,2025-12-18,2025-12-18,2026-03-13
PROD0028,FlexHub 4-Port,FlexHub,4-Port,FlexPoint,Accessories,USB hub for connecting multiple peripherals.,ACC-FLE-0028,SUP0016,610.4,876.26,5,True,2024-11-21,2024-11-21,2025-02-05
PROD0029,OfficePro Shredder Personal,OfficePro Shredder,Personal,OfficePro,Office Equipment,Paper shredder for secure document disposal.,OFF-OFF-0029,SUP0001,2838.47,3995.22,20,True,2025-05-30,2025-05-30,2026-04-12
PROD0030,OfficePro Laminator A4,OfficePro Laminator,A4,OfficePro,office equipment,Document laminator for office use.,OFF-OFF-0030,SUP0011,1872.94,2651.03,15,True,2023-07-30,2023-07-30,2025-11-17
PROD0031,OfficePro Binding Machine Comb,OfficePro Binding Machine,Comb,OfficePro,Office Equipment,Binding machine for reports and presentations.,OFF-OFF-0031,SUP0018,2579.34,3365.33,5,True,2025-01-14,2025-01-14,2025-07-13
PROD0032,OfficePro Projector Business,OfficePro Projector,Business,OfficePro,Office Equipment,Business projector for meetings and presentations.,OFF-OFF-0032,SUP0001,11743.94,16642.07,20,True,2023-08-04,2023-08-04,2025-12-05
PROD0033,OfficePro Document Scanner ADF,OfficePro Document Scanner,ADF,OfficePro,Office Equipment,Automatic document scanner for business document digitization.,OFF-OFF-0033,SUP0001,6454.68,9247.2,10,True,2024-06-24,2024-06-24,2026-04-05
PROD0034,ApexBook Essential 12-inch,ApexBook Essential,12-inch,Apex,Laptop,Business laptop designed for office productivity.,LAP-APE-0034,SUP0002,24946.55,32228.88,5,False,2025-05-28,2025-05-28,2025-12-04
PROD0035,ApexBook Essential 13-inch,ApexBook Essential,13-inch,Apex,Laptop,Business laptop designed for office productivity.,LAP-APE-0035,SUP0002,26069.19,35701.8,20,True,2025-12-02,2025-12-02,2026-05-27
PROD0036,ApexBook Pro 14-inch,ApexBook Pro,14-inch,Apex,Laptop,Business laptop designed for office productivity.,LAP-APE-0036,SUP0002,39395.67,50922.55,5,True,2026-03-03,2026-03-03,2026-07-22
PROD0037,ApexBook Pro 16-inch,ApexBook Pro,16-INCh,Apex,Laptop,Business laptop designed for office productivity.,LAP-APE-0037,SUP0002,49059.52,61710.05,15,True,2025-01-19,2025-01-19,2025-10-20
PROD0038,NovaBook Air 14-inch,NovaBook Air,14-inch,Nova,Laptop,Reliable laptop for business and everyday work.,LAP-NOV-0038,SUP0015,26437.21,34262.67,15,True,2025-11-23,2025-11-23,2026-06-18
PROD0039,NovaBook Air 16-inch,NovaBook Air,16-inch,Nova,Laptop,RELIABLE LAPTOP FOR BUSINESS AND EVERYDAY WORK.,LAP-NOV-0039,SUP0015,34065.89,42380.55,25,True,2023-10-03,2023-10-03,2025-03-23
PROD0040,NovaBook Ultra 16-inch,NovaBook Ultra ,16-inch,Nova,Laptop,Reliable laptop for business and everyday work.,LAP-NOV-0040,SUP0015,40952.17,53958.85,25,False,2025-09-20,2025-09-20,2025-10-01
PROD0041,NovaBook Ultra 18-inch,NovaBook Ultra,18-inch,Nova,Laptop,Reliable laptop for business and everyday work.,LAP-NOV-0041,SUP0015,48484.29,67406.72,10,True,2023-11-30,2023-11-30,2025-11-07
PROD0042,NovaStation Mini,NovaStation,Mini,Nova,Desktop,Compact desktop computer for office environments.,DES-NOV-0042,SUP0004,25271.86,34761.52,15,True,2026-03-10,2026-03-10,2026-05-23
PROD0043,NovaStation Tower,NovaStation,Tower,Nova,Desktop,Compact desktop computer for office environments.,DES-NOV-0043,SUP0004,43904.3,54705.83,15,True,2026-03-13,2026-03-13,2026-04-28
PROD0044,NovaStation Workstation,NovaStation,Workstation,Nova,Desktop,Compact desktop computer for office environments.,DES-NOV-0044,SUP0004,50846.8,65665.17,15,True,2026-07-05,2026-07-05,2026-07-18
PROD0045,ApexStation Pro,ApexStation,Pro, Apex,Desktop,High-performance desktop workstation.,DES-APE-0045,SUP0004,25934.84,35678.2,20,True,2024-07-28,2024-07-28,2025-04-22
PROD0046,ApexStation Compact,ApexStation,Compact ,Apex,Desktop,High-performance desktop workstation.,DES-APE-0046,SUP0004,41562.66,56638.16,15,True,2025-07-24,2025-07-24,2026-01-04
PROD0047,VisionView Essential 24-inch,VisionView Essential,24-inch,VisionView,Monitor,Professional IPS monitor.,MON-VIS-0047,SUP0008,4358.25,5605.77,10,True,2024-02-28,2024-02-28,2024-03-17
PROD0048,VisionView Essential 27-inch,VisionView Essential,27-inch,VisionView,Monitor,Professional IPS monitor.,MON-VIS-0048,SUP0008,4402.41,6044.43,20,True,2025-07-30,2025-07-30,2026-07-15
PROD0049,VisionView Pro 32-inch,VisionView Pro,32-inch,VisionView,Monitor,Office monitor for daily productivvity.,MON-VIS-0049,SUP0010,6215.81,8305.07,10,True,2025-02-22,2025-02-22,2025-08-27
PROD0050,VisionView Ultra 42-inch,VisionView Ultra ,42-inch,VisionView,Monitor,Office monitor for daily productivity.,MON-VIS-0050,SUP0010,9002.51,12382.06,25,True,2024-01-23,2024-01-23,2024-05-23
