product_id,product_name,product_family,variant,brand,category,description,sku,supplier_id,cost_price,selling_price,reorder_level,active,launch_date,created_at,updated_at
PROD0011,SwiftLink Switch 8-Port,SwiftLink Switch,8-Port,SwiftLink,Networking,Managed network switch for office infrastructure.,NET-SWI-0011,SUP0012,3468.73,4328.04,15,TRUE,5/29/2025,5/29/2025,4/8/2026
PROD0012,SwiftLink Switch 16-Port,SwiftLink Switch,16-Port,SwiftLink,Networking,Managed network switch for office infrastructure.,NET-SWI-0012,SUP0012,5136.54,6685.89,10,TRUE,11/17/2025,11/17/2025,11/25/2025
PROD0013,SwiftLink Access Point Indoor,SwiftLink Access Point,Indoor,SwiftLink,Networking,Business-grade wireless access point.,NET-SWI-0013,SUP0003,3134.61,4030.89,25,TRUE,12/26/2025,12/26/2025,4/14/2026
PROD0014,SwiftLink Access Point Outdoor,SwiftLink Access Point,Outdoor,SwiftLink,Networking,Business-grade wireless access point.,NET-SWI-0014,SUP0003,4807.3,6178.36,5,FALSE,6/4/2025,6/4/2025,10/7/2025
PROD0015,CorePrint InkJet Color,CorePrint InkJet,Color,CorePrint,Printer,Color inkjet printer for office documents.,PRI-COR-0015,SUP0007,4057.68,5047.87,5,TRUE,6/16/2026,6/16/2026,6/25/2026
PROD0016,CorePrint Laser Mono,CorePrint Laser,Mono,CorePrint,Printer,Laser printer designed for business environments.,PRI-COR-0016,SUP0013,7438.58,9529.87,10,TRUE,9/21/2023,9/21/2023,5/15/2024
PROD0017,CorePrint Laser Color,CorePrint Laser,Color,CorePrint,Printer,Laser printer designed for business environments.,PRI-COR-0017,SUP0013,10493.86,14351.43,15,TRUE,11/9/2024,11/9/2024,4/10/2025
PROD0018,CorePrint Label Standard,CorePrint Label,Standard,CorePrint,Printer,Label printer for warehouse and inventory operations.,PRI-COR-0018,SUP0007,4413.91,6370.58,5,TRUE,3/20/2024,3/20/2024,10/17/2025
PROD0019,CorePrint Label Industrial,CorePrint Label,Industrial,CorePrint,Printer,Label printer for warehouse and inventory operations.,PRI-COR-0019,SUP0007,7570.76,9690.39,5,TRUE,1/8/2024,1/8/2024,12/4/2025
PROD0020,FlexMouse Wired,FlexMouse,Wired,FlexPoint,Accessories,Optical mouse for office productivity.,ACC-FLE-0020,SUP0005,328.02,480.38,10,TRUE,10/2/2023,10/2/2023,12/11/2024
PROD0021,FlexMouse Wireless,FlexMouse,Wireless,FlexPoint,Accessories,Optical mouse for office productivity.,ACC-FLE-0021,SUP0005,566.73,745.57,5,TRUE,5/8/2024,5/8/2024,11/17/2025
PROD0022,FlexKeyboard Wired,FlexKeyboard,Wired,FlexPoint,Accessories,Full-size keyboard designed for everyday office work.,ACC-FLE-0022,SUP0009,572.99,792.24,10,TRUE,10/22/2023,10/22/2023,8/30/2025
PROD0023,FlexKeyboard Wireless,FlexKeyboard,Wireless,FlexPoint,Accessories,Full-size keyboard designed for everyday office work.,ACC-FLE-0023,SUP0009,870.05,1178.22,10,TRUE,2/3/2026,2/3/2026,3/3/2026
PROD0024,FlexHeadset USB,FlexHeadset,USB,FlexPoint,Accessories,Headset for meetings and online collaboration.,ACC-FLE-0024,SUP0016,900.03,1170.47,5,TRUE,11/17/2024,11/17/2024,5/3/2026
PROD0025,FlexHeadset Bluetooth,FlexHeadset,Bluetooth,FlexPoint,Accessories,Headset for meetings and online collaboration.,ACC-FLE-0025,SUP0016,1397.6,1780.23,5,TRUE,7/7/2025,7/7/2025,12/22/2025
PROD0026,FlexWebcam HD,FlexWebcam,HD,FlexPoint,Accessories,USB webcam for video conferencing.,ACC-FLE-0026,SUP0005,1135.43,1627.76,25,TRUE,10/20/2023,10/20/2023,5/28/2024
PROD0027,FlexWebcam Full HD,FlexWebcam,Full HD,FlexPoint,Accessories,USB webcam for video conferencing.,ACC-FLE-0027,SUP0005,1977.19,2512.77,10,FALSE,12/18/2025,12/18/2025,3/13/2026
PROD0028,FlexHub 4-Port,FlexHub,4-Port,FlexPoint,Accessories,USB hub for connecting multiple peripherals.,ACC-FLE-0028,SUP0016,610.4,876.26,5,TRUE,11/21/2024,11/21/2024,2/5/2025
PROD0029,OfficePro Shredder Personal,OfficePro Shredder,Personal,OfficePro,Office Equipment,Paper shredder for secure document disposal.,OFF-OFF-0029,SUP0001,2838.47,3995.22,20,TRUE,5/30/2025,5/30/2025,4/12/2026
PROD0030,OfficePro Laminator A4,OfficePro Laminator,A4,OfficePro,Office Equipment,Document laminator for office use.,OFF-OFF-0030,SUP0011,1872.94,2651.03,15,TRUE,7/30/2023,7/30/2023,11/17/2025
PROD0031,OfficePro Binding Machine Comb,OfficePro Binding Machine,Comb,OfficePro,Office Equipment,Binding machine for reports and presentations.,OFF-OFF-0031,SUP0018,2579.34,3365.33,5,TRUE,1/14/2025,1/14/2025,7/13/2025
PROD0032,OfficePro Projector Business,OfficePro Projector,Business,OfficePro,Office Equipment,Business projector for meetings and presentations.,OFF-OFF-0032,SUP0001,11743.94,16642.07,20,TRUE,8/4/2023,8/4/2023,12/5/2025
PROD0033,OfficePro Document Scanner ADF,OfficePro Document Scanner,ADF,OfficePro,Office Equipment,Automatic document scanner for business document digitization.,OFF-OFF-0033,SUP0001,6454.68,9247.2,10,TRUE,6/24/2024,6/24/2024,4/5/2026
PROD0034,ApexBook Essential 12-inch,ApexBook Essential,12-inch,Apex,Laptop,Business laptop designed for office productivity.,LAP-APE-0034,SUP0002,24946.55,32228.88,5,FALSE,5/28/2025,5/28/2025,12/4/2025
PROD0035,ApexBook Essential 13-inch,ApexBook Essential,13-inch,Apex,Laptop,Business laptop designed for office productivity.,LAP-APE-0035,SUP0002,26069.19,35701.8,20,TRUE,12/2/2025,12/2/2025,5/27/2026
PROD0036,ApexBook Pro 14-inch,ApexBook Pro,14-inch,Apex,Laptop,Business laptop designed for office productivity.,LAP-APE-0036,SUP0002,39395.67,50922.55,5,TRUE,3/3/2026,3/3/2026,7/22/2026
PROD0037,ApexBook Pro 16-inch,ApexBook Pro,16-inch,Apex,Laptop,Business laptop designed for office productivity.,LAP-APE-0037,SUP0002,49059.52,61710.05,15,TRUE,1/19/2025,1/19/2025,10/20/2025
PROD0038,NovaBook Air 14-inch,NovaBook Air,14-inch,Nova,Laptop,Reliable laptop for business and everyday work.,LAP-NOV-0038,SUP0015,26437.21,34262.67,15,TRUE,11/23/2025,11/23/2025,6/18/2026
PROD0039,NovaBook Air 16-inch,NovaBook Air,16-inch,Nova,Laptop,Reliable laptop for business and everyday work.,LAP-NOV-0039,SUP0015,34065.89,42380.55,25,TRUE,10/3/2023,10/3/2023,3/23/2025
PROD0040,NovaBook Ultra 16-inch,NovaBook Ultra,16-inch,Nova,Laptop,Reliable laptop for business and everyday work.,LAP-NOV-0040,SUP0015,40952.17,53958.85,25,FALSE,9/20/2025,9/20/2025,10/1/2025
PROD0041,NovaBook Ultra 18-inch,NovaBook Ultra,18-inch,Nova,Laptop,Reliable laptop for business and everyday work.,LAP-NOV-0041,SUP0015,48484.29,67406.72,10,TRUE,11/30/2023,11/30/2023,11/7/2025
PROD0042,NovaStation Mini,NovaStation,Mini,Nova,Desktop,Compact desktop computer for office environments.,DES-NOV-0042,SUP0004,25271.86,34761.52,15,TRUE,3/10/2026,3/10/2026,5/23/2026
PROD0043,NovaStation Tower,NovaStation,Tower,Nova,Desktop,Compact desktop computer for office environments.,DES-NOV-0043,SUP0004,43904.3,54705.83,15,TRUE,3/13/2026,3/13/2026,4/28/2026
PROD0044,NovaStation Workstation,NovaStation,Workstation,Nova,Desktop,Compact desktop computer for office environments.,DES-NOV-0044,SUP0004,50846.8,65665.17,15,TRUE,7/5/2026,7/5/2026,7/18/2026
PROD0045,ApexStation Pro,ApexStation,Pro,Apex,Desktop,High-performance desktop workstation.,DES-APE-0045,SUP0004,25934.84,35678.2,20,TRUE,7/28/2024,7/28/2024,4/22/2025
PROD0046,ApexStation Compact,ApexStation,Compact,Apex,Desktop,High-performance desktop workstation.,DES-APE-0046,SUP0004,41562.66,56638.16,15,TRUE,7/24/2025,7/24/2025,1/4/2026
PROD0047,VisionView Essential 24-inch,VisionView Essential,24-inch,VisionView,Monitor,Professional IPS monitor.,MON-VIS-0047,SUP0008,4358.25,5605.77,10,TRUE,2/28/2024,2/28/2024,3/17/2024
PROD0048,VisionView Essential 27-inch,VisionView Essential,27-inch,VisionView,Monitor,Professional IPS monitor.,MON-VIS-0048,SUP0008,4402.41,6044.43,20,TRUE,7/30/2025,7/30/2025,7/15/2026
PROD0049,VisionView Pro 32-inch,VisionView Pro,32-inch,VisionView,Monitor,Office monitor for daily productivity.,MON-VIS-0049,SUP0010,6215.81,8305.07,10,TRUE,2/22/2025,2/22/2025,8/27/2025
PROD0050,VisionView Ultra 42-inch,VisionView Ultra,42-inch,VisionView,Monitor,Office monitor for daily productivity.,MON-VIS-0050,SUP0010,9002.51,12382.06,25,TRUE,1/23/2024,1/23/2024,5/23/2024
